Name,Company,Industry,Region,Company Size,Traffic Source,Site Visits,Session Duration,Emails Opened,Demo Requested,Days Since First Interaction,Converted
Brittany Bell,Wilson-Bender,Healthcare,East,Small,Webinar,16,17.37,19,1,58,1
Nicholas Rangel,"Meza, Pearson and Franklin",Retail,East,Small,Email,39,10.41,12,1,300,1
Frederick Parker,Cohen PLC,Finance,East,Large,Webinar,15,18.06,17,1,225,1
Kurt Elliott,Hurst-Becker,Finance,South,Large,Ads,13,21.23,0,1,307,1
Shane Hebert,Bruce-Wilson,Healthcare,East,Small,Organic,7,25.93,1,0,110,0
Mr. Richard Sanchez,Richards PLC,Retail,East,Medium,Ads,35,14.55,2,0,227,1
Anna Perez,Alexander LLC,IT,North,Small,Webinar,23,11.05,16,0,180,0
David Rocha,Rivera PLC,Education,West,Medium,Email,24,21.58,13,1,277,1
Brandy Vasquez,Weaver Group,Finance,North,Medium,Organic,5,13.69,14,1,31,1
Christopher Landry,"Castaneda, Nichols and Allison",IT,South,Large,Email,29,22.41,5,0,78,0
Stephanie Blackburn,Silva-Santos,Finance,North,Small,Email,30,20.93,0,1,304,0
John Green,"Page, Obrien and Garcia",Retail,East,Large,Ads,33,24.56,1,0,25,0
Timothy Underwood DDS,Kelly-Harris,Education,West,Small,Webinar,41,6.71,15,1,10,1
Alexandra Alvarado,Stephens Ltd,Healthcare,East,Large,Ads,18,14.44,11,0,15,1
Brian Moore,Perez-Nelson,Healthcare,North,Large,Email,37,9.06,16,1,237,1
Clinton Ellis,White LLC,Retail,South,Small,Organic,40,26.83,6,0,124,1
Melissa Ferguson,Hunter PLC,Finance,North,Large,Organic,26,16.45,16,1,22,1
Adam Cohen,Mullins-Butler,Education,East,Medium,Email,7,14.4,19,0,105,0
Michael Ellison,"Durham, Butler and Mccarthy",Healthcare,West,Small,Organic,46,21.04,0,0,178,1
Sherri Lin,Carter-Bailey,Finance,West,Medium,Organic,42,24.52,18,0,76,0
Patrick Kline,"Carlson, Williams and Oneill",Education,East,Small,Organic,12,19.56,6,0,63,1
Kristina White,Cobb-Thompson,Education,South,Large,Ads,9,6.77,7,1,245,0
Anthony Butler,Summers-Douglas,Education,West,Large,Organic,28,18.42,12,1,325,1
Jennifer Reilly,Christensen-Cox,Education,South,Large,Ads,45,22.4,14,1,264,1
James Miller,Holmes-Davis,Retail,North,Large,Email,50,2.63,10,1,164,1
Casey Rose,Jones and Sons,Healthcare,South,Small,Email,34,12.27,14,0,190,1
Christina Reed,"Hunt, Atkins and Espinoza",Education,West,Small,Webinar,6,18.03,7,0,346,1
Kathleen Garcia,"Adams, Wright and Johnson",IT,East,Small,Webinar,48,5.52,7,1,285,1
Julie Miller,Campbell-Simpson,Education,North,Large,Email,37,13.32,5,1,281,0
Wendy Graves,Snyder and Sons,Healthcare,South,Small,Ads,25,14.13,17,0,4,0
Cassandra Vance,Perez PLC,Finance,South,Small,Webinar,39,13.81,1,0,104,1
William Ortega,"Wilson, Johnston and Rhodes",Healthcare,East,Medium,Webinar,8,25.33,19,0,310,0
Kaitlin Johnson,Bennett-Gonzales,IT,South,Medium,Ads,17,23.37,6,1,4,1
Jeffrey Wolf,Santana and Sons,Education,West,Medium,Organic,9,20.92,20,1,98,0
Robert Martin,Ellis-Taylor,Education,North,Medium,Ads,13,2.99,8,0,59,0
Joshua Mckay,"Hayes, Henry and Miller",Finance,South,Small,Ads,3,14.29,19,1,169,0
Veronica Nelson,Adams Inc,Education,West,Medium,Ads,22,18.15,3,0,227,1
Ashley Moon,"Watkins, Hoffman and Stewart",Education,East,Medium,Organic,49,26.43,20,1,315,1
Dana Carpenter,Ward-Brady,Healthcare,West,Small,Email,9,27.66,5,0,362,0
Robert Torres,Tyler-Smith,Retail,North,Large,Ads,23,3.43,1,0,207,0
Tara Bailey,"Yang, Jones and Douglas",Finance,West,Large,Email,47,19.1,14,0,154,0
Todd Nichols,Maxwell PLC,Finance,West,Large,Ads,23,15.92,5,1,7,1
Laura King,Wells PLC,IT,West,Small,Email,47,4.26,1,1,332,1
Jennifer Chung,Donaldson Ltd,Retail,North,Small,Organic,12,6.76,13,0,252,0
Elizabeth Little,Brown Ltd,Retail,East,Large,Webinar,47,11.2,4,0,172,0
Brianna Lucas,"Gardner, Schultz and Bender",Retail,North,Large,Email,41,9.89,14,0,16,0
Bryan Gordon,Flores-Patrick,Education,East,Medium,Organic,37,21.68,2,1,169,0
Kenneth Yates II,Brown and Sons,Finance,North,Large,Ads,48,4.31,11,0,354,0
David Fox,"Chapman, Russell and Jones",Finance,South,Medium,Email,47,28.8,18,0,337,0
Laura Perkins,Mcgee Ltd,Education,North,Large,Organic,12,22.59,17,0,109,0
David Abbott,Williams-Anderson,Healthcare,South,Medium,Email,31,21.32,2,1,258,0
Tracie Nelson,Greer-Rodriguez,Healthcare,South,Small,Webinar,46,17.83,15,0,206,0
Cheryl Horton,Lawrence-Blake,Education,West,Large,Organic,12,13.98,11,1,195,1
John Alexander,"Moore, Taylor and Peterson",Finance,West,Large,Organic,21,2.62,19,0,33,1
Hunter Baker,"Schaefer, Mitchell and Howell",IT,West,Medium,Ads,29,7.05,19,1,58,1
Cynthia Davis MD,"Brown, Trujillo and Hernandez",Education,East,Small,Organic,25,20.22,4,0,170,1
Mrs. Olivia Smith,Perry-Flores,Finance,North,Large,Ads,9,7.93,17,0,197,1
Lindsey King,Diaz Ltd,Retail,East,Medium,Organic,4,10.69,7,0,162,0
Todd Alvarez,Koch-Salas,Retail,North,Large,Organic,50,23.36,13,0,4,1
Aaron Hobbs,Buchanan-Meyer,Finance,West,Small,Ads,30,15.09,9,0,58,1
John Mcgrath,"Howell, Anderson and Gardner",Healthcare,North,Medium,Webinar,50,28.47,14,1,189,1
Vickie Brown,"Dominguez, Graham and Eaton",Retail,East,Large,Organic,33,15.16,5,1,145,1
Jennifer Lozano,Bradshaw Ltd,Education,West,Large,Email,38,22.05,3,0,93,0
Derek Mccoy,Burke-Spencer,IT,West,Small,Organic,1,22.92,0,1,236,0
Christopher Clark,"Hebert, Ford and Vargas",Retail,South,Medium,Ads,48,29.92,19,1,78,1
Mrs. Julie Khan,Stein Ltd,IT,South,Small,Organic,34,11.98,9,0,337,0
Karen Williams,Allen-Lawrence,IT,South,Small,Ads,43,13.56,6,0,290,0
Mr. Miguel Bishop,Morris Group,IT,North,Medium,Webinar,6,5,12,0,9,1
Molly Hall,Martinez-Owens,Healthcare,East,Medium,Organic,11,11.36,5,1,301,1
Christian Larson,"Valdez, Brown and Velez",Finance,South,Small,Organic,28,10.49,8,0,150,0
Janice Romero,Cervantes-Jimenez,Healthcare,West,Small,Organic,24,16.69,14,1,268,1
Travis Hanson,Gomez-Morris,Finance,West,Large,Organic,28,14.94,3,1,94,1
Zachary Sosa,Wagner-Harris,Retail,South,Medium,Ads,41,7.69,2,1,340,0
Amanda Trevino,Oneal Ltd,Education,West,Medium,Webinar,48,26.01,14,1,42,1
Carol Bennett,"Johnson, Davis and Peters",Finance,South,Medium,Webinar,39,6.53,3,0,226,1
Margaret Ross,"Snyder, Wilcox and Herrera",Finance,North,Small,Ads,1,18.75,15,0,7,0
Brian Dawson,"Ferguson, Marsh and Ramos",Healthcare,North,Medium,Email,16,15.25,1,1,126,0
Kyle Watts,Mccormick-Gomez,Finance,North,Medium,Webinar,29,19.34,2,1,57,1
Kayla Walker,"Mcmillan, Taylor and Bauer",Education,North,Large,Ads,25,21.32,4,1,185,1
Ashley Payne,Cowan-Gay,Finance,North,Medium,Email,16,21.89,1,0,187,0
Christopher Trevino,Williams LLC,Finance,North,Medium,Organic,11,29.53,7,1,185,1
George Taylor,Gonzalez-Kim,IT,West,Large,Webinar,42,2.56,13,1,300,1
Maria Frank,Phillips Ltd,IT,South,Large,Webinar,21,4.1,18,1,84,1
Gabriel Campbell,Waters Ltd,Healthcare,West,Medium,Email,47,26.93,3,0,150,0
Calvin Fitzgerald,"Lee, Carter and Gonzalez",Education,East,Medium,Ads,38,11.85,20,1,310,1
Timothy Reed,Gray-Mclaughlin,IT,East,Large,Email,35,4.52,20,0,132,0
Carol Williams,Brown Inc,IT,South,Large,Email,31,24.04,19,1,128,1
Darrell Wright,Holt Inc,Retail,East,Medium,Organic,14,2.8,8,1,207,1
Jason Gay,Frank-Hill,IT,North,Small,Organic,29,3.08,4,1,10,1
Katrina Hansen,Trujillo-Johnson,Healthcare,West,Medium,Ads,22,11.25,14,0,192,1
Marissa Clark,Pratt LLC,Retail,West,Small,Webinar,8,8.77,14,1,310,1
Jessica Bartlett,"Frank, Smith and Phillips",Retail,South,Small,Organic,46,15.27,8,1,313,1
Christine Fowler,Rogers Group,Finance,North,Large,Webinar,27,8.1,7,1,233,1
Pam Padilla,Christensen-Chambers,Education,West,Large,Organic,11,16.72,1,1,250,1
Russell Perry,Jones Inc,Education,West,Medium,Organic,19,25.78,3,1,48,1
Blake Norton,Mendoza Group,IT,North,Small,Organic,21,21.33,16,1,120,1
Anthony Warren,Gibson-Goodman,Finance,West,Medium,Organic,38,24.1,11,1,309,1
Brian Lynch,Baker LLC,Education,East,Small,Ads,28,10.35,9,1,27,1
Dana Smith,"Farrell, Ferrell and Wolf",Retail,North,Large,Ads,15,17.39,14,0,169,0
Kara Burton,Banks-Garcia,IT,East,Large,Ads,46,18.39,16,1,267,1
Sharon Clark,Kim Inc,Retail,North,Large,Email,9,21.47,11,1,322,0
Megan Mclaughlin,"Scott, Watson and Olson",IT,West,Small,Webinar,13,20.42,10,1,152,1
Christopher Allen,"Fernandez, Martin and Rodriguez",IT,West,Large,Email,41,28.75,1,0,246,0
Ashley Turner,Thornton Inc,Finance,South,Large,Organic,34,27.77,0,1,249,0
Stephen Simmons,Miller-Burke,Retail,North,Small,Ads,33,17.94,5,0,94,1
Robert Trevino,Davis LLC,Education,North,Medium,Webinar,32,23.15,16,1,21,1
Gloria Williams,Peterson-Farrell,Healthcare,North,Small,Ads,18,6.74,13,1,360,1
Caroline Carr,"Palmer, Wood and Harris",Retail,East,Large,Ads,39,10.16,14,1,135,1
Jose Norris,Wheeler Group,Retail,South,Large,Email,50,8.89,4,0,359,1
Christopher Pham,Cook Group,Finance,East,Large,Organic,48,15.81,2,0,282,1
Raymond Newton,"Moss, Atkins and Gibson",Retail,West,Large,Email,46,15.08,16,1,20,1
John Dixon,Salazar-Wells,Healthcare,West,Small,Organic,50,20.95,9,0,111,1
Derek Short,Nunez-Davis,IT,South,Large,Organic,23,19.88,13,0,290,1
Seth Williams,Morris-Cabrera,Education,North,Small,Webinar,26,13.58,8,1,186,1
Karen King,"Parker, Holland and Gay",Education,South,Large,Ads,32,13.48,16,0,276,1
Sarah Scott,"Mays, Gallagher and Shaw",Healthcare,East,Medium,Organic,48,2.5,5,0,76,1
David Bowman,Krause Ltd,Education,West,Medium,Webinar,42,5.72,14,1,184,1
Noah Day,Evans Inc,Retail,West,Medium,Ads,2,4.21,6,0,121,1
Mrs. Belinda Smith,"Anthony, Hoffman and Tyler",Finance,West,Medium,Ads,3,15.25,1,0,283,1
Stephanie Hanson,"Richard, Johnson and Hicks",Education,East,Large,Ads,50,5.31,11,0,255,1
Kyle Smith,Robinson-Blair,Healthcare,South,Small,Ads,17,25.23,2,1,48,1
Michelle Brown,"Malone, Kelly and Hancock",Finance,North,Medium,Email,15,2.71,3,1,344,0
Alexis Perez,Francis-Hooper,Healthcare,East,Large,Webinar,25,24.93,7,0,196,0
Anna Moore,"Phillips, Owens and Foster",Education,North,Small,Webinar,50,5.78,16,1,128,1
April Taylor,Mitchell LLC,Retail,North,Small,Email,23,18.54,15,0,234,1
Michelle Davidson,Yates-Rogers,Retail,East,Large,Organic,40,9.96,0,0,47,0
Curtis Stewart,Lynch-Johnson,IT,West,Small,Webinar,11,23.23,19,0,178,1
Amber Lee,Evans PLC,Education,South,Medium,Email,2,6.76,13,0,115,1
Patricia Wang,Hardin PLC,Retail,East,Large,Organic,17,17.32,14,1,145,1
Benjamin Keller,Moore-Sharp,Finance,West,Small,Organic,4,18.75,4,0,233,0
Andrew Valencia,Wilkins Inc,Finance,West,Medium,Webinar,6,22.02,13,0,194,0
Robert Berry,"Delgado, Ramos and Hays",Finance,East,Small,Webinar,26,5.76,19,0,366,0
Timothy Ramsey,"Welch, Mccall and Barrera",IT,North,Medium,Email,27,19.46,9,1,121,1
Samantha Bush,"Taylor, Henderson and Moreno",Finance,North,Large,Email,4,18.05,3,0,342,0
Ryan Collins,"Gordon, Johnson and Smith",Education,North,Medium,Email,22,6.75,12,0,235,0
Stephanie Vasquez,Hernandez Ltd,Healthcare,North,Large,Organic,17,11.81,0,0,279,0
Monica Pearson,"Price, Cooke and Butler",Education,East,Small,Ads,47,13.28,15,1,36,1
Briana Hicks,Johnson-Greene,Education,North,Medium,Webinar,4,25.43,18,1,285,0
Amy Williams,Morgan and Sons,Healthcare,West,Small,Email,49,27.24,1,1,170,1
Stephanie Cox,Bauer-Gray,IT,North,Small,Ads,20,29.72,10,0,310,0
Juan Pierce DVM,"Farmer, Lewis and Spears",Healthcare,South,Small,Ads,13,9.66,19,0,296,1
Tiffany Kramer,Ramos-White,Healthcare,South,Small,Ads,48,6.62,17,0,113,1
Paul Sanchez,Roy and Sons,Education,South,Large,Organic,45,12.36,3,1,22,1
Edwin Thompson,Fitzpatrick Inc,Finance,North,Medium,Webinar,2,1.01,2,0,77,0
Cameron Cantrell,Davis PLC,IT,East,Large,Ads,34,10.63,6,0,355,0
Andrew Gonzales,Carey PLC,IT,West,Medium,Organic,11,17.51,12,1,22,1
Jennifer Hopkins,"Bennett, Ellis and Roberts",IT,East,Large,Email,2,14.07,10,1,64,0
Sarah Brooks,Rice Group,Finance,South,Medium,Organic,21,11.29,14,0,335,1
Gina Smith,"Patrick, West and Griffin",Healthcare,North,Medium,Webinar,14,25.33,14,0,243,1
Tiffany Gonzalez,Huber Inc,Education,East,Large,Email,48,25.38,3,1,57,0
Jessica Willis,Baker-Walker,IT,East,Medium,Webinar,25,1.13,10,0,101,0
Cameron Moreno,Rios Ltd,Retail,North,Small,Organic,41,16.18,10,1,247,1
Bradley Sullivan,Jones-Bowen,Finance,West,Medium,Ads,27,14.5,9,0,38,1
Kelly Herrera,"Chapman, Mcguire and Sloan",Healthcare,West,Medium,Webinar,31,28.5,3,1,198,1
Scott Webster,"Moon, Farley and Soto",Retail,West,Medium,Webinar,29,15.26,0,1,146,1
Kathy Welch,Davila-Brown,Education,West,Medium,Organic,41,26.15,14,0,216,1
Michele Ruiz,Lopez Ltd,Retail,West,Small,Email,6,3.83,8,0,322,1
Matthew Mitchell,Martin-Ryan,Education,North,Large,Organic,29,19.35,10,1,342,1
Valerie Richardson,"Rivera, Williams and Morris",Education,West,Large,Email,37,20.74,4,0,304,0
Paula Duarte,"Johnson, Snyder and Vasquez",IT,West,Small,Organic,43,23.51,11,1,141,1
Cynthia Lee,Walton-Jensen,IT,North,Small,Organic,38,18,0,0,55,0
Emma Merritt,Schultz-Rivas,Finance,South,Small,Ads,10,6.08,9,0,361,0
Donald Goodwin,Terry and Sons,Retail,North,Medium,Email,7,27.69,0,1,279,1
Timothy Norris,Mckenzie Inc,IT,East,Large,Organic,14,13.34,8,1,96,1
Omar Jones,Stokes LLC,Finance,West,Medium,Webinar,14,24.71,17,1,302,1
Charles Bowers,Lowe-Taylor,Finance,West,Medium,Organic,36,10.68,19,1,16,1
Eric King,Hubbard Inc,Education,East,Medium,Email,34,4.12,17,0,98,0
Maria Cook,White-Esparza,Education,East,Medium,Webinar,25,1.4,9,0,330,1
Joshua Rivas,Silva Inc,IT,West,Large,Webinar,3,24.65,0,0,11,0
Gina Rodgers,"Stokes, Wagner and Johnson",Education,North,Small,Email,15,19.79,14,0,312,1
Darin Lopez,Neal Ltd,Education,West,Large,Ads,47,29.05,2,1,169,1
Wendy Chen,Berry-Adkins,Retail,North,Small,Organic,33,23.26,4,0,53,0
Daniel Landry,"Wallace, Smith and Hayes",Finance,East,Medium,Email,39,9.17,10,0,334,1
Teresa Singh,"Ross, Arnold and Smith",Healthcare,North,Large,Ads,48,24.2,13,0,25,1
Michelle Hanson,"Hernandez, Kaiser and Bryant",Healthcare,South,Large,Ads,9,8.01,12,0,241,0
Kevin Buck,Bell-Wallace,Retail,West,Medium,Organic,12,22.09,5,1,257,1
Carl Pugh,Baker Group,Education,North,Medium,Ads,7,5.09,5,0,128,1
Caleb Alvarez IV,"Floyd, Warren and Bryant",Education,East,Large,Organic,43,23,0,0,260,1
Stacie Nguyen,Gallegos-Smith,Retail,North,Small,Webinar,24,14.21,15,0,354,0
Annette Jimenez,"Bailey, Morgan and Ali",IT,East,Small,Webinar,41,2.06,15,1,284,1
Gregory Franco,"Long, Patel and Wagner",IT,South,Medium,Organic,20,23.86,8,1,1,1
Mark Powers,Perry Group,Retail,South,Small,Email,15,26.94,6,1,26,1
Michael Lee,Navarro Ltd,Education,East,Medium,Email,25,2.45,8,1,40,1
Gregory Santiago,Rangel and Sons,Education,East,Small,Organic,26,12.69,19,0,144,0
Christian Lewis,"Hardin, Hicks and Valdez",Finance,North,Small,Email,5,24.7,0,1,346,1
Kelly Newman,Gregory-Allen,IT,North,Small,Email,8,14.47,10,0,171,0
Melissa Pierce,"Santiago, Boone and Lopez",Finance,North,Medium,Ads,12,23.49,11,0,143,0
Kendra Horn,"Brady, Saunders and Harper",Healthcare,South,Large,Ads,19,13.93,14,1,349,1
Amy Aguirre,"Hernandez, Jacobs and Patton",IT,East,Medium,Organic,32,6.45,16,1,75,1
Rachel Dorsey,"Romero, Austin and Ruiz",Finance,North,Large,Ads,16,10.66,1,1,268,1
Amanda Williams,Kidd-Lucero,Education,East,Small,Webinar,18,5.55,17,1,278,1
Wendy Mitchell,Jimenez Inc,Finance,East,Medium,Ads,9,3.04,4,0,287,0
Greg Webb,Mercer-Nguyen,Finance,North,Large,Ads,49,21.43,5,1,162,1
Lisa Rodriguez,Dorsey-Morrison,IT,North,Large,Organic,5,28.47,3,1,86,1
Roy Forbes,Walker-Acosta,Healthcare,North,Small,Ads,3,22.87,1,0,19,1
Rachel Cameron,"Morales, Owens and Romero",Finance,West,Small,Webinar,22,13.68,2,0,24,0
Courtney Mays,Smith Group,Retail,East,Small,Organic,24,25.23,1,1,210,1
George Johns,Evans LLC,Finance,South,Large,Email,20,18.69,14,0,145,0
Amber Reed,"Allen, Miller and Marshall",Retail,West,Large,Ads,44,27.18,19,0,155,1
Lisa Parrish,Atkinson Ltd,Education,East,Large,Ads,2,26.21,5,1,362,1
Bonnie Mcneil,Baker-Leon,Healthcare,North,Large,Organic,50,9.02,18,0,33,0
Corey West,Davis Inc,Retail,South,Medium,Organic,8,9.36,20,1,214,0
Shari Fitzgerald,Steele PLC,Retail,North,Small,Organic,23,6.58,19,1,191,1
Cynthia Barker,"Spencer, Wilson and Zimmerman",Education,West,Large,Ads,32,19.42,13,0,274,0
Laura Navarro,Mcbride Inc,IT,North,Small,Organic,13,6.54,19,1,37,1
Brandon Terrell,Stanton PLC,Retail,North,Small,Organic,33,3.07,4,1,32,1
John Shaw,"Kelly, Patterson and Lopez",Finance,East,Large,Ads,10,5.29,8,1,291,0
Johnny Erickson,"Gordon, Clark and Mayer",Healthcare,East,Large,Organic,18,21.1,20,0,182,0
Calvin Wilkinson,Stephens-Christian,IT,North,Small,Ads,39,7.64,14,1,312,1
Tracy Henry,Baker Group,Education,West,Large,Webinar,25,13.6,20,0,293,0
Christina Williams,Tran-Martin,Finance,North,Large,Webinar,30,26.68,14,0,133,1
Julie Duffy,"Cruz, Davis and Schultz",IT,South,Medium,Organic,3,8.4,14,1,314,1
Scott Lynn,"Reyes, Wilson and Larsen",Healthcare,West,Large,Email,38,19.91,12,1,278,1
Caroline Clements,Morgan-Shaw,Finance,South,Medium,Webinar,7,13.19,19,0,216,1
Heather Weber,"Wilson, Garcia and Mclaughlin",Education,West,Medium,Webinar,7,2.58,4,0,122,1
Maria Avila,Neal Group,Retail,West,Small,Webinar,39,3.07,8,1,278,1
Christina Hansen,Miller Inc,Education,South,Small,Organic,33,25.59,12,1,78,1
Kevin Brown,Mason Inc,Education,South,Medium,Organic,13,27.67,14,0,357,0
Lisa Henderson,Morales Group,Finance,South,Small,Organic,31,27.23,7,1,278,1
Brooke Wilkerson,Herman PLC,Healthcare,East,Medium,Webinar,29,25.62,10,0,209,1
Luke Anthony,"Thomas, Mccoy and Ramos",Finance,South,Small,Email,7,3.42,18,0,312,1
Sherri Thompson,Watkins-Anderson,Retail,South,Small,Webinar,24,7.92,4,1,46,1
Janice Lewis,"Davis, Garcia and Jones",Education,North,Small,Organic,25,6.73,18,0,192,0
Roberta Glover,Hale LLC,Healthcare,West,Medium,Email,11,27.21,17,0,178,0
Rachel Huffman,Glover-Gonzalez,IT,North,Large,Ads,50,9.64,5,1,75,1
Patricia Pham,"Livingston, Becker and Johnson",Retail,North,Small,Organic,44,7.58,18,0,261,0
Danielle Morris,Parker LLC,Healthcare,East,Large,Webinar,42,24.15,2,0,67,0
Amanda Mccoy,Haley and Sons,IT,South,Small,Ads,38,10.14,12,0,273,0
April Nelson,"Kelly, Wilkins and Simpson",Finance,North,Large,Ads,47,28.96,2,0,29,1
Elizabeth Cantu,"Gonzalez, Boyle and Woods",Finance,South,Small,Email,7,1.81,18,1,364,1
Rebecca Brown,Hubbard-Romero,IT,East,Large,Ads,28,24.18,2,1,280,1
Tiffany Jackson,Elliott-Caldwell,IT,West,Medium,Email,31,10.43,12,1,72,1
Juan Graves,Nguyen LLC,Healthcare,South,Large,Email,30,21,20,1,113,1
Cheyenne Curtis,Brown-Harris,Retail,North,Large,Email,46,12.5,14,0,275,1
Juan Baker,Bradley-Nelson,Education,South,Medium,Webinar,27,16.82,15,1,207,1
Alexis Jacobs,Odonnell-Williams,Finance,West,Small,Webinar,15,4.91,11,1,139,1
Sheri Randall,"Davis, Carter and Conway",Finance,South,Small,Organic,44,11.47,10,1,353,1
Dr. Heather Bryant,"Sims, Heath and Smith",IT,North,Small,Email,26,10.98,10,0,10,0
Matthew Sandoval,"Conley, Hobbs and Soto",Education,West,Large,Ads,8,8.57,13,1,114,1
Regina Morgan,Morgan LLC,Healthcare,West,Large,Webinar,40,28.28,3,1,54,1
Ronald Martin,"Cuevas, Case and Gonzalez",IT,South,Medium,Ads,12,24.94,20,0,275,0
Heidi Brown,"Thomas, Taylor and Beard",Education,West,Medium,Email,40,13.45,20,0,14,0
Emma Hughes,"Jones, Gibbs and Sherman",Finance,North,Medium,Ads,45,14.49,4,1,121,1
John Guerrero,Chandler Inc,Retail,North,Large,Email,43,1.13,20,0,102,0
Tracy Cooper,West-Jackson,Healthcare,West,Small,Email,10,7.93,19,1,112,0
Karen Miller,Davis-Williams,Education,East,Large,Organic,15,24.12,2,0,364,0
Mitchell Tate,Thompson-Moreno,IT,South,Small,Organic,50,20.61,9,0,150,0
Lorraine Campbell,Smith Group,IT,North,Small,Ads,49,26.87,19,1,171,1
Charles Pearson,Roberson and Sons,IT,North,Large,Email,15,21.27,20,0,195,0
John French,"Scott, James and Erickson",Healthcare,East,Large,Ads,9,1.42,11,1,189,0
Brian Brown,"Jarvis, Ellison and Long",Healthcare,West,Medium,Email,44,14.97,13,0,330,1
Patrick Rowland,Russell Ltd,Finance,West,Medium,Organic,27,13.93,9,0,79,0
Maria Bell,Perez and Sons,Education,North,Medium,Webinar,14,12.83,17,1,177,1
Julia Lee,Miller and Sons,Retail,North,Large,Webinar,48,16.63,7,0,262,1
Melissa Massey,Fitzgerald Ltd,IT,West,Small,Webinar,49,10.87,14,0,276,0
Suzanne Williams,"Cervantes, Pena and Rogers",Finance,South,Medium,Ads,29,15.05,18,1,360,1
Scott Gill,Sharp-Bailey,Retail,South,Medium,Email,3,9.17,11,1,352,0
Christian Shelton,Osborn LLC,Retail,South,Small,Ads,18,5.6,20,0,296,1
Brandi Howard,"Ellis, Rivera and Lambert",Retail,North,Medium,Webinar,25,18.81,17,1,9,1
James Rivera,Parks LLC,Finance,West,Medium,Organic,30,20.84,10,0,345,1
Robert Lucero,Romero Ltd,Education,East,Large,Email,39,27.32,12,0,74,0
Holly Hale,Patel-Nelson,Retail,West,Large,Organic,11,28.03,3,1,4,0
Leah Anderson,"Garcia, Brown and Robinson",Education,East,Large,Webinar,42,13.96,10,0,118,0
Kelsey Woodward,Moore Ltd,Finance,West,Small,Email,42,15.46,7,1,348,1
Karla Huffman,Foster-White,IT,South,Medium,Webinar,24,14.95,11,0,175,1
Amy Patel,Carpenter and Sons,Education,North,Medium,Ads,16,5.55,5,1,183,1
Matthew Gonzalez,Johnson-Lawson,IT,East,Large,Webinar,11,4.99,4,0,6,1
Cheryl Johnson,"Rangel, Lane and Butler",Finance,North,Medium,Ads,4,16.95,15,1,141,0
Colleen Olson,Wright-Powers,Education,West,Medium,Webinar,41,21.37,7,0,41,1
Blake Parsons,Holmes Group,Retail,North,Medium,Organic,1,2.13,0,0,33,0
Tracy Cohen,Beasley-Huff,Finance,East,Small,Webinar,18,12.85,10,1,279,1
Johnathan Bryan,"Welch, Nicholson and Pope",Healthcare,South,Small,Ads,22,29.76,15,1,336,1
Daniel Clarke,Johns-Williams,Healthcare,West,Large,Ads,38,9.12,15,0,141,0
Shawn Webb,"Adams, Fox and Reyes",IT,South,Large,Ads,15,4.26,0,1,216,1
Kimberly Young,Cook LLC,Finance,South,Medium,Ads,46,13.06,10,1,176,1
Cassandra Leach MD,Miller LLC,Retail,North,Large,Organic,11,16.34,18,0,183,1
Samuel Matthews,Adkins Inc,IT,North,Large,Ads,47,29.95,0,1,56,0
Jonathan Wong,Garza-Richardson,IT,South,Medium,Webinar,25,1.16,19,1,97,1
Robert Johnson,"Coleman, Richardson and Carlson",Healthcare,East,Small,Organic,45,1.85,20,1,201,1
Robert Maldonado,Willis Inc,Finance,South,Medium,Ads,20,24.43,19,0,128,1
John Thomas,Hill-Morgan,Education,North,Large,Organic,14,25.49,19,0,141,1
Justin Martinez,Montgomery and Sons,IT,South,Medium,Ads,13,6.47,16,0,116,1
Patrick Hardy,Boyd-Weaver,Retail,South,Medium,Webinar,15,28.95,12,1,275,1
Tyrone Hernandez,"Jones, Fields and Lawrence",Education,West,Large,Email,39,9.15,11,1,145,1
William Woodard,"Porter, Thompson and Kim",Healthcare,East,Small,Email,2,28.93,7,1,172,1
Laurie Holt,Sullivan Inc,Healthcare,East,Small,Webinar,20,2.9,2,1,321,1
Brendan Good,Walker PLC,Education,North,Medium,Ads,31,20.42,6,1,280,1
Joseph Gross,Martin PLC,Healthcare,South,Large,Webinar,36,15.45,6,0,290,1
Sarah Bernard,Taylor LLC,Education,South,Large,Ads,20,12.11,14,1,144,1
Matthew Sanchez,Mcdowell-Macias,Retail,East,Small,Webinar,16,26.34,10,0,142,0
Karen West,Jones-Davis,Healthcare,East,Medium,Webinar,49,2.71,15,0,329,1
Victoria Hobbs,"Moore, Green and Wilson",Healthcare,North,Large,Organic,16,7.5,0,0,290,0
Jamie Vaughan,"Hill, Conrad and Lee",Retail,North,Medium,Ads,27,9.61,15,0,87,1
Darrell Wilson MD,Smith-Maxwell,Education,East,Small,Webinar,23,1.6,9,0,256,0
Ronald Huang,Hays-Williams,IT,South,Small,Ads,40,9.44,19,1,64,1
Cody Friedman,Miller-Daniels,Finance,South,Large,Ads,21,23.09,20,1,34,1
James Clayton,"Miller, Kramer and Velazquez",Finance,East,Large,Ads,31,9.16,13,0,4,1
Erika Vasquez,Miller PLC,Education,North,Large,Email,18,2.37,7,0,346,1
Katie Thompson,"Garcia, Ponce and Day",Finance,West,Medium,Email,46,5.47,7,1,124,1
Jeanne Morgan,"Delacruz, Hicks and Dodson",Healthcare,East,Large,Organic,19,25.35,15,1,192,1
